Time,Voltage
,
0,0.034179688
2.018,0.99609375
,
2.028,0.99609375
,
2.038,0.99609375
,
2.047,1.005859375
,
2.057,1.005859375
,
2.067,1.005859375
,
2.076,1.015625
,
2.086,1.020507813
,
2.096,1.020507813
,
2.106,1.025390625
,
2.116,1.030273438
,
2.125,1.030273438
,
2.135,1.040039063
,
2.145,1.044921875
,
2.155,1.030273438
,
2.165,1.049804688
,
2.175,1.064453125
,
2.185,1.059570313
,
2.194,1.064453125
,
2.204,1.07421875
,
2.214,1.069335938
,
2.224,1.079101563
,
2.234,1.079101563
,
2.244,1.079101563
,
2.254,1.088867188
,
2.263,1.09375
,
2.273,1.098632813
,
2.283,1.098632813
,
2.293,1.108398438
,
2.303,1.11328125
,
2.313,1.118164063
,
2.323,1.118164063
,
2.332,1.127929688
,
2.342,1.118164063
,
2.352,1.1328125
,
2.362,1.137695313
,
2.372,1.137695313
,
2.382,1.137695313
,
2.392,1.147460938
,
2.401,1.147460938
,
2.411,1.162109375
,
2.421,1.162109375
,
2.431,1.166992188
,
2.441,1.166992188
,
2.451,1.171875
,
2.461,1.176757813
,
2.47,1.181640625
,
2.48,1.186523438
,
2.49,1.186523438
,
2.5,1.186523438
,
2.51,1.196289063
,
2.52,1.206054688
,
2.53,1.2109375
,
2.539,1.2109375
,
2.549,1.2109375
,
2.559,1.2109375
,
2.569,1.225585938
,
2.579,1.225585938
,
2.589,1.23046875
,
2.599,1.235351563
,
2.609,1.235351563
,
2.618,1.245117188
,
2.628,1.25
,
2.638,1.25
,
2.648,1.25
,
2.658,1.259765625
,
2.668,1.259765625
,
2.678,1.26953125
,
2.688,1.264648438
,
2.697,1.274414063
,
2.707,1.26953125
,
2.717,1.274414063
,
2.727,1.279296875
,
2.737,1.284179688
,
2.747,1.293945313
,
2.757,1.298828125
,
2.766,1.298828125
,
2.776,1.30859375
,
2.786,1.303710938
,
2.796,1.313476563
,
2.806,1.313476563
,
2.816,1.323242188
,
2.826,1.318359375
,
2.836,1.333007813
,
2.845,1.328125
,
2.855,1.337890625
,
2.865,1.337890625
,
2.875,1.34765625
,
2.885,1.34765625
,
2.895,1.352539063
,
2.905,1.34765625
,
2.915,1.357421875
,
2.924,1.362304688
,
2.934,1.3671875
,
2.944,1.3671875
,
2.954,1.381835938
,
2.964,1.381835938
