Time,Voltage
2.571,0.68359375
2.581,0.6787109375
2.591,0.68359375
2.601,0.68359375
2.61,0.6884765625
2.62,0.6884765625
2.63,0.6982421875
2.64,0.693359375
2.65,0.6982421875
2.66,0.6982421875
2.67,0.7080078125
2.679,0.6982421875
2.689,0.7080078125
2.699,0.712890625
2.709,0.7080078125
2.719,0.712890625
2.729,0.7177734375
2.739,0.7177734375
2.749,0.72265625
2.758,0.72265625
2.768,0.7275390625
2.778,0.732421875
2.788,0.72265625
2.798,0.72265625
2.808,0.72265625
2.818,0.7275390625
2.828,0.7373046875
2.837,0.7421875
2.847,0.7421875
2.857,0.751953125
2.867,0.7421875
2.877,0.7470703125
2.887,0.7470703125
2.897,0.7568359375
2.907,0.751953125
2.916,0.7568359375
2.926,0.7568359375
2.936,0.76171875
2.946,0.7568359375
2.956,0.76171875
2.966,0.76171875
2.976,0.7666015625
2.985,0.7666015625
2.995,0.771484375
3.005,0.7763671875
3.015,0.7763671875
3.025,0.7763671875
3.035,0.78125
3.045,0.7861328125
3.054,0.7861328125
3.064,0.7861328125
3.074,0.7861328125
3.084,0.791015625
3.094,0.791015625
3.104,0.791015625
3.114,0.7958984375
3.123,0.80078125
3.133,0.80078125
3.143,0.80078125
3.153,0.8056640625
3.163,0.8056640625
3.173,0.810546875
3.183,0.810546875
3.192,0.810546875
3.202,0.810546875
3.212,0.8154296875
3.222,0.8154296875
3.232,0.8203125
3.242,0.8203125
3.252,0.8251953125
3.261,0.8251953125
3.271,0.830078125
3.281,0.830078125
3.291,0.8349609375
3.301,0.8349609375
3.311,0.8349609375
3.321,0.8349609375
3.33,0.8447265625
3.34,0.83984375
3.35,0.849609375
3.36,0.849609375
3.37,0.8544921875
3.38,0.8544921875
3.39,0.859375
3.4,0.8544921875
3.409,0.8642578125
3.419,0.859375
3.429,0.8642578125
3.439,0.8642578125
3.449,0.869140625
3.459,0.869140625
3.469,0.8740234375
3.478,0.87890625
3.488,0.8837890625
3.498,0.87890625
3.508,0.87890625
3.518,0.8837890625
3.528,0.8837890625
3.538,0.888671875
3.548,0.8935546875
3.557,0.8984375
3.567,0.8984375
3.577,0.9033203125
3.587,0.8984375
3.597,0.9033203125
3.607,0.9033203125
3.617,0.9033203125
3.627,0.9033203125
3.636,0.9130859375
3.646,0.9130859375
3.656,0.91796875
3.666,0.91796875
3.676,0.91796875
3.686,0.91796875
3.696,0.9228515625
3.705,0.9228515625
3.715,0.927734375
3.725,0.927734375
3.735,0.927734375
3.745,0.927734375
3.755,0.9326171875
3.765,0.9326171875
3.775,0.9326171875
3.784,0.927734375
3.794,0.9326171875
3.804,0.9326171875
3.814,0.9423828125
3.824,0.9375
3.834,0.9423828125
3.844,0.947265625
3.853,0.9521484375
3.863,0.9521484375
3.873,0.95703125
3.883,0.95703125
3.893,0.95703125
3.903,0.95703125
3.913,0.9619140625
3.923,0.9619140625
3.932,0.966796875
3.942,0.966796875
3.952,0.9716796875
3.962,0.9716796875
3.972,0.9765625
3.982,0.9765625
3.992,0.9765625
4.002,0.9765625
4.011,0.9814453125
4.021,0.9814453125
4.031,0.986328125
4.041,0.986328125
4.05,0.9912109375
4.06,0.9912109375
4.07,0.99609375
4.08,0.99609375
4.09,1.0009765625
4.099,1.0009765625
4.109,1.005859375
4.119,1.005859375
4.129,1.0107421875
4.139,1.0107421875
4.148,1.015625
4.158,1.015625
4.168,1.0205078125
4.178,1.015625
4.188,1.025390625
4.197,1.025390625
4.207,1.0302734375
4.217,1.025390625
4.227,1.0302734375
4.237,1.03515625
4.247,1.0302734375
4.257,1.0400390625
4.267,1.0400390625
4.277,1.0400390625
4.286,1.0400390625
4.296,1.044921875
4.306,1.0400390625
4.316,1.0498046875
4.326,1.0498046875
4.336,1.0546875
4.346,1.0498046875
4.356,1.0595703125
4.366,1.0498046875
4.376,1.0595703125
4.385,1.0595703125
4.395,1.0595703125
4.405,1.0595703125
4.415,1.064453125
4.425,1.064453125
4.435,1.0693359375
4.445,1.0693359375
4.455,1.0693359375
4.465,1.0693359375
4.475,1.0791015625
4.484,1.07421875
4.494,1.0791015625
4.504,1.0791015625
4.514,1.0791015625
4.524,1.083984375
4.534,1.0888671875
4.544,1.083984375
4.554,1.0888671875
4.564,1.0888671875
4.574,1.09375
4.583,1.09375
4.593,1.0986328125
4.603,1.0986328125
4.613,1.0986328125
4.623,1.103515625
4.633,1.103515625
4.643,1.1083984375
4.653,1.11328125
4.663,1.1083984375
4.673,1.11328125
4.682,1.1181640625
4.692,1.11328125
4.702,1.1181640625
4.712,1.123046875
4.722,1.1181640625
4.732,1.1279296875
4.742,1.1279296875
4.752,1.1279296875
4.762,1.1279296875
4.771,1.1376953125
4.781,1.1328125
4.791,1.1376953125
4.801,1.1376953125
4.811,1.1376953125
4.821,1.142578125
4.831,1.1474609375
4.841,1.142578125
4.851,1.1474609375
4.861,1.15234375
4.871,1.15234375
4.88,1.1572265625
4.89,1.162109375
4.9,1.1572265625
4.91,1.162109375
4.92,1.162109375
4.93,1.1669921875
4.94,1.1669921875
4.95,1.171875
4.96,1.1669921875
4.97,1.1767578125
4.979,1.1767578125
4.989,1.1767578125
4.999,1.1767578125
5.009,1.181640625
5.019,1.181640625
5.029,1.19140625
5.039,1.1865234375
5.049,1.1962890625
5.059,1.19140625
5.069,1.1962890625
5.079,1.1962890625
5.088,1.201171875
5.098,1.1962890625
5.108,1.2060546875
5.118,1.2060546875
5.128,1.2109375
5.138,1.2060546875
5.148,1.2158203125
5.158,1.2109375
5.168,1.220703125
5.177,1.220703125
5.187,1.220703125
5.197,1.220703125
5.207,1.23046875
5.217,1.2255859375
5.227,1.2353515625
5.237,1.2353515625
5.247,1.240234375
5.257,1.240234375
5.267,1.2451171875
5.277,1.240234375
5.286,1.25
5.296,1.2451171875
5.306,1.25
5.316,1.25
5.326,1.2548828125
5.336,1.2548828125
5.346,1.2548828125
5.356,1.259765625
5.366,1.2548828125
5.376,1.2646484375
5.385,1.2646484375
5.395,1.26953125
5.405,1.2646484375
5.415,1.26953125
5.425,1.26953125
5.435,1.2744140625
5.445,1.2744140625
5.455,1.279296875
5.465,1.2744140625
5.474,1.2841796875
5.484,1.279296875
5.494,1.2841796875
5.504,1.2841796875
5.514,1.2890625
5.524,1.2841796875
5.534,1.2939453125
5.544,1.2890625
5.554,1.2939453125
5.564,1.2939453125
5.574,1.2939453125
5.583,1.298828125
5.593,1.298828125
5.603,1.298828125
5.613,1.3037109375
5.623,1.3037109375
5.633,1.3037109375
5.643,1.3037109375
5.653,1.30859375
5.663,1.30859375
5.672,1.3134765625
5.682,1.3134765625
5.692,1.3134765625
5.702,1.3134765625
5.712,1.3232421875
